Название района;Назва району;Город;Область;Тип
Гущинцы;Гущинці;Калиновка;Винницкая;Село
Дальнее замостье;Дальнє замостя;Винница;Винницкая;Район
Даньковка;Даньківка;Ильинцы;Винницкая;Село
Дахталия;Дахталія;Крыжополь;Винницкая;Село
Дашев;Дашів;Ильинцы;Винницкая;Село
Дашковцы;Дашківці;Литин;Винницкая;Село
Демидовка;Демидівка;Жмеринка;Винницкая;Село
Демидовка;Демидівка;Тростянец;Винницкая;Село
Демковка;Демківка;Тростянец;Винницкая;Село
Демовка;Демівка;Чечельник;Винницкая;Село
Деребчин;Деребчин;Шаргород;Винницкая;Село
Деревянки;Дерев'янки;Шаргород;Винницкая;Село
Дерешова;Дерешова;Мурованые Куриловцы;Винницкая;Село
Десна;Десна;Винница;Винницкая;Село
Джугастра;Джугастра;Крыжополь;Винницкая;Село
Джулинка;Джулинка;Бершадь;Винницкая;Село
Джурин;Джурин;Шаргород;Винницкая;Село
Джуринцы;Джуринці;Немиров;Винницкая;Село
Дзиговка;Дзигівка;Ямполь;Винницкая;Село
Дзюньков;Дзюньків;Погребище;Винницкая;Село
Дибровинцы;Дібровинці;Оратов;Винницкая;Село
Дибровка;Дібрівка;Хмельник;Винницкая;Село
Дмитрашковка;Дмитрашківка;Песчанка;Винницкая;Село
Добрянка;Добрянка;Ямполь;Винницкая;Село
Довгаловка;Довгалівка;Погребище;Винницкая;Село
Довжок;Довжок;Погребище;Винницкая;Село
Довжок;Довжок;Шаргород;Винницкая;Село
Довжок;Довжок;Ямполь;Винницкая;Село
Долгополовка;Довгополівка;Тывров;Винницкая;Село
Долиняны;Долиняни;Мурованые Куриловцы;Винницкая;Село
Дорожное;Дорожнє;Винница;Винницкая;Село
Дорошовка;Дорошівка;Ямполь;Винницкая;Село
Дохно;Дохно;Чечельник;Винницкая;Село
Дранка;Дранка;Тульчин;Винницкая;Село
Дружба;Дружба;Мурованые Куриловцы;Винницкая;Село
Дружелюбовка;Дружелюбівка;Калиновка;Винницкая;Село
Дружное;Дружне;Калиновка;Винницкая;Село
Дубовая;Дубова;Жмеринка;Винницкая;Село
Дубовые Махаринцы;Дубові Махаринці;Казатин;Винницкая;Село
Думенки;Думенки;Хмельник;Винницкая;Село
Дьяковка;Дяківка;Бершадь;Винницкая;Село
Дьяковцы;Дяківці;Литин;Винницкая;Село
Жабеловка;Жабелівка;Винница;Винницкая;Село
Жабокрич;Жабокрич;Крыжополь;Винницкая;Село
Жабокричка;Жабокричка;Чечельник;Винницкая;Село
Жадани;Жадани;Ильинцы;Винницкая;Село
Жахновка;Жахнівка;Тывров;Винницкая;Село
Жван;Жван;Мурованые Куриловцы;Винницкая;Село
Ждановка;Жданівка;Хмельник;Винницкая;Село
Жежелев;Жежелів;Казатин;Винницкая;Село
Железнодорожное;Залізничне;Казатин;Винницкая;Село
Желобы;Жолоби;Томашполь;Винницкая;Село
Жерденевка;Жерденівка;Гайсин;Винницкая;Село
Жеребиловка;Жеребилівка;Могилев-Подольский;Винницкая;Село
Жернище;Жорнище;Ильинцы;Винницкая;Село
Животовка;Животівка;Оратов;Винницкая;Село
Жигаловка;Жигалівка;Калиновка;Винницкая;Село
Жмеринка;Жмеринка;Жмеринка;Винницкая;Район
Жовтневое;Жовтневе;Калиновка;Винницкая;Село
Жорняки;Жорняки;Бершадь;Винницкая;Село
Жуковцы;Жуківці;Жмеринка;Винницкая;Село
Журавлевка;Журавлівка;Бар;Винницкая;Село
Журавлевка;Журавлівка;Тульчин;Винницкая;Село
Журавное;Журавне;Литин;Винницкая;Село
Журбинцы;Журбинці;Казатин;Винницкая;Село
Заболотное;Заболотне;Крыжополь;Винницкая;Село
Забужье;Забужжя;Немиров;Винницкая;Село
Завадовка;Завадівка;Теплик;Винницкая;Село
Заветное;Завітне;Бершадь;Винницкая;Село
Загребельная;Загребельна;Калиновка;Винницкая;Село
Заливанщина;Заливанщина;Калиновка;Винницкая;Село
Залужье;Залужжя;Теплик;Винницкая;Село
Заможное;Заможне;Бар;Винницкая;Село
Замостье;Замостя;Винница;Винницкая;Район
Заозерное;Заозерне;Тульчин;Винницкая;Село
Зарванцы;Зарванці;Винница;Винницкая;Пригород
Заречное;Зарічне;Тульчин;Винницкая;Село
Зарудинцы;Зарудинці;Немиров;Винницкая;Село
Зарудье;Заруддя;Оратов;Винницкая;Село
Збараж;Збараж;Казатин;Винницкая;Село
Збаржовка;Збаржівка;Погребище;Винницкая;Село
Зведеневка;Зведенівка;Шаргород;Винницкая;Село
Звониха;Дзвониха;Тывров;Винницкая;Село
Зеленянка;Зеленянка;Крыжополь;Винницкая;Село
Зозов;Зозів;Липовец;Винницкая;Село
Зозовка;Зозівка;Липовец;Винницкая;Село
Зозулинцы;Зозулинці;Казатин;Винницкая;Село
Зяньковцы;Зяньківці;Немиров;Винницкая;Село
Зятковцы;Зятківці;Гайсин;Винницкая;Село
Зятковцы вокзал;Зятківці вокзал;Гайсин;Винницкая;Село
Иванковцы;Іванківці;Тывров;Винницкая;Село
Иванов;Іванів;Калиновка;Винницкая;Село
Ивановка;Іванівка;Винница;Винницкая;Село
Ивановка;Іванівка;Ильинцы;Винницкая;Село
Ивановцы;Іванівці;Бар;Винницкая;Село
Ивановцы;Іванівці;Литин;Винницкая;Село
Иваньки;Іваньки;Липовец;Винницкая;Село
Ивашковцы;Івашківці;Шаргород;Винницкая;Село
Ивоновка;Івонівка;Могилев-Подольский;Винницкая;Село
Ивоновцы;Івонівці;Тывров;Винницкая;Село
Ивча;Івча;Литин;Винницкая;Село
Ильивка;Іллівка;Крыжополь;Винницкая;Село
Ильинецкое;Іллінецьке;Ильинцы;Винницкая;Село
Ильинцы;Іллінці;Ильинцы;Винницкая;Район
Ильковка;Ільківка;Винница;Винницкая;Село
Ильяшовка;Ілляшівка;Тростянец;Винницкая;Село
Иосиповка;Йосипівка;Казатин;Винницкая;Село
Искриня;Іскриня;Литин;Винницкая;Село
Казатин;Козятин;Казатин;Винницкая;Район
Казатин село;Козятин село;Казатин;Винницкая;Село
Калиновка;Калинівка;Калиновка;Винницкая;Район
Калиновка;Калинівка;Шаргород;Винницкая;Село
Калитинка;Калитинка;Шаргород;Винницкая;Село
Кальник;Кальник;Ильинцы;Винницкая;Село
Каменка;Кам'янка;Литин;Винницкая;Село
Каменогорка;Кам'яногірка;Жмеринка;Винницкая;Село
Каменогорка;Кам'яногірка;Ильинцы;Винницкая;Село
Каменогорка;Кам'яногірка;Калиновка;Винницкая;Село
Кантелина;Кантелина;Ильинцы;Винницкая;Село
Капустяны;Капустяни;Тростянец;Винницкая;Село
Карабеловка;Карабелівка;Теплик;Винницкая;Село
Карбовка;Карбівка;Гайсин;Винницкая;Село
Каришков;Каришків;Бар;Винницкая;Село
Кармалюково;Кармалюкове;Жмеринка;Винницкая;Село
Карповка;Карпівка;Могилев-Подольский;Винницкая;Село
Каташин;Каташин;Чечельник;Винницкая;Село
Кацмазов;Кацмазів;Жмеринка;Винницкая;Село
Качановка;Качанівка;Хмельник;Винницкая;Село
Качковка;Качківка;Ямполь;Винницкая;Село
Кашперовка;Кашперівка;Казатин;Винницкая;Село
Киблич;Кіблич;Гайсин;Винницкая;Село
Кивачовка;Кивачівка;Теплик;Винницкая;Село
Кидрасовка;Кидрасівка;Бершадь;Винницкая;Село
Киевская;Київська;Винница;Винницкая;Район
Кинашев;Кинашів;Тульчин;Винницкая;Село
Кирнасовка;Кирнасівка;Тульчин;Винницкая;Село
Кировка;Кіровка;Калиновка;Винницкая;Село
Кирово;Кірове;Немиров;Винницкая;Село
Кислицкое;Кислицьке;Томашполь;Винницкая;Село
Кисляк;Кисляк;Гайсин;Винницкая;Село
Кисница;Кісниця;Крыжополь;Винницкая;Село
Китайгород;Китайгород;Ильинцы;Винницкая;Село
Кияновка;Киянівка;Бар;Винницкая;Село
Клебань;Клебань;Тульчин;Винницкая;Село
Клекотина;Клекотина;Шаргород;Винницкая;Село
Клембовка;Клембівка;Ямполь;Винницкая;Село
Клещов;Кліщів;Тывров;Винницкая;Село
Ковалевка;Ковалівка;Немиров;Винницкая;Село
Кожанка;Кожанка;Оратов;Винницкая;Село
Кожухов;Кожухів;Литин;Винницкая;Село
Козинцы;Козинці;Липовец;Винницкая;Село
Козинцы;Козинці;Тростянец;Винницкая;Село
Козлов;Козлів;Могилев-Подольский;Винницкая;Село
Козловка;Козлівка;Песчанка;Винницкая;Село
Козловка;Козлівка;Шаргород;Винницкая;Село
Колибабинцы;Колибабинці;Хмельник;Винницкая;Село
Колоденка;Колоденка;Томашполь;Винницкая;Село
Колюхов;Колюхів;Тывров;Винницкая;Село
Комаргород;Комаргород;Томашполь;Винницкая;Село
Комаров;Комарів;Винница;Винницкая;Село
Комаровка;Комарівка;Теплик;Винницкая;Село
Комаровцы;Комарівці;Бар;Винницкая;Село
Коммунаровка;Комунарівка;Калиновка;Винницкая;Село
Комсомольское;Комсомольське;Казатин;Винницкая;Село
Конатковцы;Конатківці;Шаргород;Винницкая;Село
Конева;Конева;Могилев-Подольский;Винницкая;Село
Конищев;Конищів;Мурованые Куриловцы;Винницкая;Село
Константиновка;Костянтинівка;Липовец;Винницкая;Село
Копай вокзал;Копай вокзал;Бар;Винницкая;Село
Копайгород;Копайгород;Бар;Винницкая;Село
Копеевка;Копіївка;Ильинцы;Винницкая;Село
Копеевка;Копіївка;Тульчин;Винницкая;Село
Копыстирин;Копистирин;Шаргород;Винницкая;Село
Корделевка;Корделівка;Калиновка;Винницкая;Село
Кордишовка;Кордишівка;Казатин;Винницкая;Село
Кордышевка;Кордишівка;Винница;Винницкая;Село
Корея;Корея;Винница;Винницкая;Район
Коростовцы;Коростівці;Жмеринка;Винницкая;Село
Косаново;Косанове;Гайсин;Винницкая;Село
Костюковка;Костюківка;Теплик;Винницкая;Село
Котлубаевка;Котлубаївка;Черновцы;Винницкая;Село
Котюжаны;Котюжани;Мурованые Куриловцы;Винницкая;Село
Котюжаны вокзал;Котюжани вокзал;Мурованые Куриловцы;Винницкая;Село
Котюжинци;Котюжинці;Калиновка;Винницкая;Село
Кошаринцы;Кошаринці;Бар;Винницкая;Село
Кошаринцы;Кошаринці;Бершадь;Винницкая;Село
Кошланы;Кошлани;Оратов;Винницкая;Село
Красненькое;Красненьке;Ильинцы;Винницкая;Село
Красногорка;Красногірка;Тростянец;Винницкая;Село
Красное;Красне;Жмеринка;Винницкая;Село
Красное;Красне;Тывров;Винницкая;Село
Красное;Красне;Винница;Винницкая;Село
Краснополка;Краснопілка;Гайсин;Винницкая;Село
Красноселка;Красносілка;Бершадь;Винницкая;Село
Красноселка;Красносілка;Крыжополь;Винницкая;Село
Краснянка;Краснянка;Тывров;Винницкая;Село
Кременное;Кремінне;Могилев-Подольский;Винницкая;Село
Кривохижинцы;Кривохижинці;Мурованые Куриловцы;Винницкая;Село
Кривошеи;Кривошиї;Хмельник;Винницкая;Село
Крикливец;Крикливець;Крыжополь;Винницкая;Село
Криковцы;Криківці;Немиров;Винницкая;Село
Кричановка;Кричанівка;Могилев-Подольский;Винницкая;Село
Криштоповка;Криштопівка;Ильинцы;Винницкая;Село
Крищинцы;Крищинці;Тульчин;Винницкая;Село
Кропивная;Кропивна;Хмельник;Винницкая;Село
Крутогорб;Крутогорб;Гайсин;Винницкая;Село
Крушиновка;Крушинівка;Бершадь;Винницкая;Село
Крыжановка;Крижанівка;Хмельник;Винницкая;Село
Крыжополь;Крижопіль;Крыжополь;Винницкая;Район
Ксаверовка;Ксаверівка;Винница;Винницкая;Село
Кудиевцы;Кудіївці;Жмеринка;Винницкая;Село
Кудлаи;Кудлаї;Немиров;Винницкая;Село
Кузьминцы;Кузьминці;Бар;Винницкая;Село
Кузьминцы;Кузьминці;Гайсин;Винницкая;Село
Кукавка;Кукавка;Могилев-Подольский;Винницкая;Село
Кукули;Кукули;Песчанка;Винницкая;Село
Кулига;Кулига;Литин;Винницкая;Село
Кумановка;Куманівка;Казатин;Винницкая;Село
Кумановцы;Куманівці;Хмельник;Винницкая;Село
Куна;Куна;Гайсин;Винницкая;Село
Куничье;Куниче;Крыжополь;Винницкая;Село
Кунка;Кунка;Гайсин;Винницкая;Село
Купчинцы;Купчинці;Ильинцы;Винницкая;Село
Курашовцы;Курашівці;Мурованые Куриловцы;Винницкая;Село
Куреневка;Куренівка;Чечельник;Винницкая;Село
Куриловка;Курилівка;Хмельник;Винницкая;Село
Куриловцы;Курилівці;Жмеринка;Винницкая;Село
Курьянцы;Кур'янці;Погребище;Винницкая;Село
Кусиковцы;Кусиківці;Литин;Винницкая;Село
Кустовцы;Кустівці;Хмельник;Винницкая;Село
Кущинцы;Кущинці;Гайсин;Винницкая;Село
Лавровка;Лаврівка;Винница;Винницкая;Село
Ладыжин;Ладижин;Ладыжин;Винницкая;Район
Ладыжинские Хуторы;Ладижинські Хутори;Гайсин;Винницкая;Село
Ланы;Лани;Тывров;Винницкая;Село
Левков;Левків;Крыжополь;Винницкая;Село
Левковка;Левківка;Погребище;Винницкая;Село
Левковцы;Левківці;Тульчин;Винницкая;Село
Леляки;Леляки;Жмеринка;Винницкая;Село
Лемешевка;Лемешівка;Калиновка;Винницкая;Село
Леоновка;Леонівка;Крыжополь;Винницкая;Село
Лепитка;Лепітка;Хмельник;Винницкая;Село
Лесничье;Лісниче;Бершадь;Винницкая;Село
Лесовая Лысеевка;Лісова Лисіївка;Калиновка;Винницкая;Село
Лесовое;Лісове;Бар;Винницкая;Село
Летковка;Летківка;Тростянец;Винницкая;Село
Леухи;Леухи;Ильинцы;Винницкая;Село
Лещинцы;Ліщинці;Погребище;Винницкая;Село
Липовец;Липовець;Липовец;Винницкая;Район
Липовец вокзал;Липовець вокзал;Липовец;Винницкая;Село
Липовка;Липівка;Томашполь;Винницкая;Село
Липчаны;Липчани;Могилев-Подольский;Винницкая;Село
Липятин;Лип'ятин;Хмельник;Винницкая;Село
Лисогорка;Лисогірка;Винница;Винницкая;Село
Лисянка;Лисянка;Винница;Винницкая;Село
Литин;Літин;Литин;Винницкая;Район
Литинка;Літинка;Литин;Винницкая;Село
Лозна;Лозна;Хмельник;Винницкая;Село
Лозоватая;Лозувата;Липовец;Винницкая;Село
Лозовая;Лозова;Хмельник;Винницкая;Село
Лозовая;Лозова;Шаргород;Винницкая;Село
Лозовое;Лозове;Черновцы;Винницкая;Село
Лопатин;Лопатин;Казатин;Винницкая;Село
Лопатинка;Лопатинка;Оратов;Винницкая;Село
Луги;Луги;Чечельник;Винницкая;Село
Луговая;Лугова;Бершадь;Винницкая;Село
Лука-Барская;Лука-Барська;Бар;Винницкая;Село
Лука-Мелешковская;Лука-Мелешківська;Винница;Винницкая;Пригород
Лука-Мовчанская;Лука-Мовчанська;Жмеринка;Винницкая;Село
Лукашовка;Лукашівка;Липовец;Винницкая;Село
Лукашовка;Лукашівка;Литин;Винницкая;Село
Лукашовка;Лукашівка;Тростянец;Винницкая;Село
Лучинец;Лучинець;Мурованые Куриловцы;Винницкая;Село
Лучинчик;Лучинчик;Мурованые Куриловцы;Винницкая;Село
Лысая Гора;Лиса Гора;Ильинцы;Винницкая;Село
Лысогора;Лысогора;Винница;Винницкая;Село
Лысогорка;Лисогірка;Жмеринка;Винницкая;Село
Лысянка;Лисянка;Жмеринка;Винницкая;Село
Любомирка;Любомирка;Чечельник;Винницкая;Село
Людавка;Людавка;Жмеринка;Винницкая;Село
Люлинцы;Люлинці;Калиновка;Винницкая;Село
Лядова;Лядова;Могилев-Подольский;Винницкая;Село
Мазуровка;Мазурівка;Тульчин;Винницкая;Село
Мазуровка;Мазурівка;Черновцы;Винницкая;Село
Майдан-Чапельский;Майдан-Чапельський;Винница;Винницкая;Село
Майдан-Юзвинский;Майдан-Юзвинський;Винница;Винницкая;Село
Малая Бушинка;Мала Бушинка;Немиров;Винницкая;Село
Малая Вулига;Мала Вулига;Тывров;Винницкая;Село
Малая Жмеринка;Мала Жмеринка;Жмеринка;Винницкая;Село
Малая Киреевка;Мала Киріївка;Бершадь;Винницкая;Село
Малая Мочулка;Мала Мочулка;Теплик;Винницкая;Село
Малая Стратиевка;Мала Стратіївка;Тростянец;Винницкая;Село
Малиновка;Малинівка;Литин;Винницкая;Село
Малые Крушлинцы;Малі Крушлинці;Винница;Винницкая;Село
Малые Хутора;Малі Хутори;Винница;Винницкая;Село
Малый Митник;Малий Митник;Хмельник;Винницкая;Село
Мальчовцы;Мальчівці;Бар;Винницкая;Село
Маньковка;Маньківка;Бершадь;Винницкая;Село
Маньковцы;Маньківці;Бар;Винницкая;Село
Марковка;Марківка;Теплик;Винницкая;Село
Марковка;Марківка;Тывров;Винницкая;Село
Марковка;Марківка;Томашполь;Винницкая;Село
